Gmt time,Open,High,Low,Close,Volume
11.02.2012 00:00:00.000,1721.200,1721.200,1721.200,1721.200,0
12.02.2012 00:00:00.000,1721.200,1728.662,1721.200,1725.483,12384300.2319
13.02.2012 00:00:00.000,1725.393,1733.303,1716.073,1718.131,591398010.2539
14.02.2012 00:00:00.000,1718.180,1727.678,1712.000,1719.303,381974395.752
15.02.2012 00:00:00.000,1719.322,1737.343,1718.363,1728.086,319726806.6406
16.02.2012 00:00:00.000,1728.163,1729.853,1705.277,1727.376,368536071.7773
17.02.2012 00:00:00.000,1727.452,1735.819,1717.062,1722.800,59662479.4006
18.02.2012 00:00:00.000,1722.800,1722.800,1722.800,1722.800,0
19.02.2012 00:00:00.000,1722.800,1733.616,1722.000,1733.508,86434700.0122
20.02.2012 00:00:00.000,1733.543,1737.142,1728.491,1733.447,409490295.4102
21.02.2012 00:00:00.000,1733.477,1760.152,1730.773,1757.250,387864349.3652
22.02.2012 00:00:00.000,1757.229,1781.652,1749.253,1775.571,435538574.2188
23.02.2012 00:00:00.000,1775.610,1787.352,1772.226,1778.863,318242462.1582
24.02.2012 00:00:00.000,1778.845,1782.804,1770.405,1771.900,79770240.7837
25.02.2012 00:00:00.000,1771.900,1771.900,1771.900,1771.900,0
26.02.2012 00:00:00.000,1771.900,1775.728,1771.900,1772.816,87454399.1089
27.02.2012 00:00:00.000,1773.004,1779.362,1761.383,1767.012,445436553.9551
28.02.2012 00:00:00.000,1767.032,1790.309,1765.847,1786.150,450471527.0996
29.02.2012 00:00:00.000,1786.172,1790.608,1685.962,1702.333,1097679687.5
01.03.2012 00:00:00.000,1702.352,1725.775,1702.037,1719.813,788437561.0352
02.03.2012 00:00:00.000,1719.945,1724.176,1704.723,1710.500,73220939.6362
03.03.2012 00:00:00.000,1710.500,1710.500,1710.500,1710.500,0
04.03.2012 00:00:00.000,1711.700,1713.864,1709.670,1712.813,122692298.8892
05.03.2012 00:00:00.000,1712.766,1716.713,1693.593,1704.804,325467010.498
06.03.2012 00:00:00.000,1704.835,1708.911,1662.864,1674.263,349802703.8574
07.03.2012 00:00:00.000,1674.264,1688.092,1671.147,1684.981,528162658.6914
08.03.2012 00:00:00.000,1684.945,1703.903,1682.863,1701.755,212490539.5508
09.03.2012 00:00:00.000,1701.736,1714.852,1676.648,1712.900,1858166625.9766
10.03.2012 00:00:00.000,1712.900,1712.900,1712.900,1712.900,0
11.03.2012 00:00:00.000,1713.700,1716.680,1711.552,1713.152,3171331054.6875
12.03.2012 00:00:00.000,1713.152,1713.652,1692.352,1700.152,461515167.2363
13.03.2012 00:00:00.000,1700.073,1705.643,1661.903,1675.862,810906127.9297
14.03.2012 00:00:00.000,1675.892,1682.249,1634.456,1643.652,699072814.9414
15.03.2012 00:00:00.000,1643.533,1666.552,1636.018,1657.972,802568908.6914
16.03.2012 00:00:00.000,1657.993,1664.713,1639.557,1659.100,402082305.9082
17.03.2012 00:00:00.000,1659.100,1659.100,1659.100,1659.100,0
18.03.2012 00:00:00.000,1659.400,1660.652,1656.702,1660.480,91557098.3887
19.03.2012 00:00:00.000,1660.459,1669.852,1652.247,1663.152,409550079.3457
20.03.2012 00:00:00.000,1663.064,1664.273,1641.547,1649.952,400952850.3418
21.03.2012 00:00:00.000,1649.884,1661.852,1646.555,1651.207,535339416.5039
22.03.2012 00:00:00.000,1651.252,1656.269,1628.047,1646.663,801105590.8203
23.03.2012 00:00:00.000,1646.683,1666.472,1642.083,1661.400,90827598.5718
24.03.2012 00:00:00.000,1661.400,1661.400,1661.400,1661.400,0
25.03.2012 00:00:00.000,1661.400,1669.152,1660.300,1668.923,101274002.0752
26.03.2012 00:00:00.000,1668.952,1693.552,1655.443,1689.341,369698974.6094
27.03.2012 00:00:00.000,1689.368,1697.003,1679.100,1680.971,465118194.5801
28.03.2012 00:00:00.000,1681.031,1684.370,1654.343,1664.852,768157592.7734
29.03.2012 00:00:00.000,1664.852,1664.947,1645.097,1661.379,363030792.2363
30.03.2012 00:00:00.000,1661.352,1670.921,1659.747,1668.130,70933898.9258
31.03.2012 00:00:00.000,1668.130,1668.130,1668.130,1668.130,0
01.04.2012 00:00:00.000,1667.800,1674.360,1667.600,1672.452,48701301.5747
02.04.2012 00:00:00.000,1672.452,1683.452,1662.832,1678.952,530157287.5977
03.04.2012 00:00:00.000,1679.052,1680.912,1638.762,1646.713,781273437.5
04.04.2012 00:00:00.000,1646.729,1647.892,1612.335,1623.173,5471003417.9688
05.04.2012 00:00:00.000,1623.173,1633.417,1619.968,1630.000,497222595.2148
06.04.2012 00:00:00.000,1630.100,1642.200,1627.000,1638.800,5231000000
07.04.2012 00:00:00.000,1638.800,1638.800,1638.800,1638.800,0
08.04.2012 00:00:00.000,1630.200,1646.626,1629.400,1642.371,207038696.2891
09.04.2012 00:00:00.000,1642.418,1648.702,1635.421,1643.096,206028533.9355
10.04.2012 00:00:00.000,1643.123,1662.952,1631.797,1657.388,352774993.8965
11.04.2012 00:00:00.000,1657.371,1662.517,1652.848,1659.352,195935821.5332
12.04.2012 00:00:00.000,1659.352,1680.013,1650.452,1675.383,367169433.5938
13.04.2012 00:00:00.000,1675.400,1677.856,1649.248,1657.500,84097801.2085
14.04.2012 00:00:00.000,1657.500,1657.500,1657.500,1657.500,0
15.04.2012 00:00:00.000,1657.500,1657.500,1651.244,1652.661,83062858.5815
16.04.2012 00:00:00.000,1652.752,1657.747,1641.152,1651.374,1548465698.2422
17.04.2012 00:00:00.000,1651.372,1657.347,1634.548,1650.437,276634674.0723
18.04.2012 00:00:00.000,1650.437,1654.311,1637.862,1641.472,300016265.8691
19.04.2012 00:00:00.000,1641.432,1653.752,1631.000,1641.409,371404083.252
20.04.2012 00:00:00.000,1641.392,1647.122,1638.414,1642.300,76645698.5474
21.04.2012 00:00:00.000,1642.300,1642.300,1642.300,1642.300,0
22.04.2012 00:00:00.000,1642.200,1642.852,1639.762,1642.587,103592437.7441
23.04.2012 00:00:00.000,1642.646,1643.207,1623.214,1636.738,330631530.7617
24.04.2012 00:00:00.000,1636.772,1649.180,1633.960,1641.612,336274932.8613
25.04.2012 00:00:00.000,1641.587,1646.568,1624.864,1643.452,417061614.9902
26.04.2012 00:00:00.000,1643.552,1660.947,1642.452,1656.555,320168365.4785
27.04.2012 00:00:00.000,1656.571,1667.552,1650.436,1662.300,97638198.8525
28.04.2012 00:00:00.000,1662.300,1662.300,1662.300,1662.300,0
29.04.2012 00:00:00.000,1662.400,1664.936,1661.300,1664.881,135419937.1338
30.04.2012 00:00:00.000,1664.897,1666.852,1643.457,1666.837,488353790.2832
01.05.2012 00:00:00.000,1666.847,1671.502,1656.886,1662.263,251860626.2207
02.05.2012 00:00:00.000,1662.301,1662.750,1645.920,1651.749,364458007.8125
03.05.2012 00:00:00.000,1651.852,1653.252,1631.148,1635.810,2067700927.7344
04.05.2012 00:00:00.000,1635.752,1647.352,1626.252,1642.000,675997314.4531
