Local time,Open,High,Low,Close,Volume
24.05.2017 20:00:00.000 GMT-0400,1257.811,1259.629,1253.038,1255.191,50.3785
25.05.2017 20:00:00.000 GMT-0400,1255.121,1269.429,1254.099,1266.492,46.7851
26.05.2017 20:00:00.000 GMT-0400,1266.492,1266.492,1266.492,1266.492,0
27.05.2017 20:00:00.000 GMT-0400,1267.121,1268.992,1266.072,1268.291,1.508
28.05.2017 20:00:00.000 GMT-0400,1268.192,1268.691,1265.021,1266.802,17.9338
29.05.2017 20:00:00.000 GMT-0400,1266.741,1270.439,1259.369,1262.372,45.3999
30.05.2017 20:00:00.000 GMT-0400,1262.372,1274.072,1259.529,1268.658,50.6822
31.05.2017 20:00:00.000 GMT-0400,1268.642,1270.279,1261.488,1264.681,47.8555
01.06.2017 20:00:00.000 GMT-0400,1264.681,1279.472,1259.029,1278.298,51.2692
02.06.2017 20:00:00.000 GMT-0400,1278.298,1278.298,1278.298,1278.298,0
03.06.2017 20:00:00.000 GMT-0400,1279.758,1281.229,1278.359,1279.868,1.47
04.06.2017 20:00:00.000 GMT-0400,1279.868,1283.381,1277.749,1280.449,40.8453
05.06.2017 20:00:00.000 GMT-0400,1280.449,1296.058,1279.628,1293.661,60.605
06.06.2017 20:00:00.000 GMT-0400,1293.661,1294.232,1282.618,1284.569,58.6706
07.06.2017 20:00:00.000 GMT-0400,1284.569,1288.899,1271.311,1279.892,63.7037
08.06.2017 20:00:00.000 GMT-0400,1279.808,1280.159,1264.628,1266.332,57.4115
09.06.2017 20:00:00.000 GMT-0400,1266.332,1266.332,1266.332,1266.332,0
10.06.2017 20:00:00.000 GMT-0400,1266.871,1267.962,1266.221,1267.752,1.8177
11.06.2017 20:00:00.000 GMT-0400,1267.741,1270.351,1263.558,1265.191,53.8889
12.06.2017 20:00:00.000 GMT-0400,1265.192,1268.912,1259.268,1267.268,50.4969
13.06.2017 20:00:00.000 GMT-0400,1267.251,1281.087,1257.138,1263.368,62.7741
14.06.2017 20:00:00.000 GMT-0400,1263.368,1266.656,1251.492,1253.831,54.6704
15.06.2017 20:00:00.000 GMT-0400,1253.792,1257.141,1251.769,1253.241,42.61
16.06.2017 20:00:00.000 GMT-0400,1253.241,1253.241,1253.241,1253.241,0
17.06.2017 20:00:00.000 GMT-0400,1254.221,1255.662,1253.321,1254.628,2.0837
18.06.2017 20:00:00.000 GMT-0400,1254.642,1255.239,1242.538,1243.761,43.9896
19.06.2017 20:00:00.000 GMT-0400,1243.761,1248.092,1241.281,1244.868,44.2415
20.06.2017 20:00:00.000 GMT-0400,1244.888,1249.762,1240.969,1248.912,46.3671
21.06.2017 20:00:00.000 GMT-0400,1248.868,1254.682,1246.621,1251.468,47.4451
22.06.2017 20:00:00.000 GMT-0400,1251.432,1258.811,1250.000,1256.002,37.9228
23.06.2017 20:00:00.000 GMT-0400,1256.002,1256.002,1256.002,1256.002,0
24.06.2017 20:00:00.000 GMT-0400,1257.121,1257.991,1256.772,1257.361,1.2566
25.06.2017 20:00:00.000 GMT-0400,1257.362,1257.409,1236.001,1243.091,47.7675
26.06.2017 20:00:00.000 GMT-0400,1243.091,1253.112,1241.341,1249.268,51.9836
27.06.2017 20:00:00.000 GMT-0400,1249.198,1254.849,1247.851,1249.612,55.3505
28.06.2017 20:00:00.000 GMT-0400,1249.699,1253.148,1239.791,1246.448,60.2076
29.06.2017 20:00:00.000 GMT-0400,1246.458,1248.222,1239.308,1240.411,52.6359
30.06.2017 20:00:00.000 GMT-0400,1240.411,1240.411,1240.411,1240.411,0
01.07.2017 20:00:00.000 GMT-0400,1241.621,1242.672,1240.571,1241.778,1.9442
02.07.2017 20:00:00.000 GMT-0400,1241.778,1241.992,1218.489,1223.372,55.9322
03.07.2017 20:00:00.000 GMT-0400,1223.361,1227.389,1220.581,1226.641,30.9735
04.07.2017 20:00:00.000 GMT-0400,1226.641,1229.132,1217.429,1226.529,56.3894
05.07.2017 20:00:00.000 GMT-0400,1226.508,1227.899,1218.942,1222.762,51.6933
06.07.2017 20:00:00.000 GMT-0400,1222.762,1228.449,1207.251,1212.251,45.7064
07.07.2017 20:00:00.000 GMT-0400,1212.251,1212.251,1212.251,1212.251,0
08.07.2017 20:00:00.000 GMT-0400,1212.328,1213.762,1211.369,1213.332,1.8933
09.07.2017 20:00:00.000 GMT-0400,1213.332,1215.581,1204.832,1213.648,40.4472
10.07.2017 20:00:00.000 GMT-0400,1213.648,1218.022,1208.172,1217.858,47.1126
11.07.2017 20:00:00.000 GMT-0400,1217.210,1217.910,1216.250,1217.750,1.3275
12.07.2017 20:00:00.000 GMT-0400,1219.038,1224.419,1216.499,1217.579,44.9569
13.07.2017 20:00:00.000 GMT-0400,1217.589,1232.858,1214.761,1228.501,47.2049
14.07.2017 20:00:00.000 GMT-0400,1228.501,1228.501,1228.501,1228.501,0
15.07.2017 20:00:00.000 GMT-0400,1229.109,1231.042,1228.211,1230.771,2.2431
16.07.2017 20:00:00.000 GMT-0400,1230.771,1235.972,1229.349,1232.852,38.9952
17.07.2017 20:00:00.000 GMT-0400,1232.852,1244.521,1232.791,1242.662,48.7452
18.07.2017 20:00:00.000 GMT-0400,1242.669,1243.978,1235.928,1241.298,44.3852
19.07.2017 20:00:00.000 GMT-0400,1241.371,1247.512,1235.281,1243.889,57.0945
20.07.2017 20:00:00.000 GMT-0400,1243.898,1255.701,1243.401,1254.661,52.0516
21.07.2017 20:00:00.000 GMT-0400,1254.661,1254.661,1254.661,1254.661,0
22.07.2017 20:00:00.000 GMT-0400,1255.122,1256.248,1253.338,1256.149,2.6998
23.07.2017 20:00:00.000 GMT-0400,1256.142,1258.791,1251.901,1253.621,54.7422
24.07.2017 20:00:00.000 GMT-0400,1253.558,1257.889,1246.591,1246.729,60.1391
25.07.2017 20:00:00.000 GMT-0400,1246.729,1263.508,1243.731,1260.218,61.7568
26.07.2017 20:00:00.000 GMT-0400,1260.222,1265.229,1254.499,1260.038,73.0842
27.07.2017 20:00:00.000 GMT-0400,1260.038,1270.822,1257.331,1268.802,62.0746
28.07.2017 20:00:00.000 GMT-0400,1268.802,1268.802,1268.802,1268.802,0
29.07.2017 20:00:00.000 GMT-0400,1270.071,1271.129,1269.608,1270.208,2.7169
30.07.2017 20:00:00.000 GMT-0400,1270.228,1270.431,1265.749,1267.481,54.5659
31.07.2017 20:00:00.000 GMT-0400,1267.482,1274.061,1262.638,1267.622,64.8576
01.08.2017 20:00:00.000 GMT-0400,1267.631,1272.812,1257.401,1263.028,58.0129
02.08.2017 20:00:00.000 GMT-0400,1263.028,1270.799,1259.838,1269.128,59.9411
03.08.2017 20:00:00.000 GMT-0400,1269.171,1270.118,1254.162,1258.072,51.8749
04.08.2017 20:00:00.000 GMT-0400,1258.072,1258.072,1258.072,1258.072,0
05.08.2017 20:00:00.000 GMT-0400,1258.778,1258.872,1256.522,1257.322,2.5081
06.08.2017 20:00:00.000 GMT-0400,1257.321,1259.869,1255.712,1257.622,48.6965
07.08.2017 20:00:00.000 GMT-0400,1257.621,1265.181,1251.488,1262.008,57.1964
08.08.2017 20:00:00.000 GMT-0400,1262.008,1278.688,1261.291,1275.791,81.1659
09.08.2017 20:00:00.000 GMT-0400,1275.792,1287.792,1274.598,1286.592,68.5373
10.08.2017 20:00:00.000 GMT-0400,1286.522,1292.011,1281.271,1288.258,61.9647
11.08.2017 20:00:00.000 GMT-0400,1288.258,1288.258,1288.258,1288.258,0
12.08.2017 20:00:00.000 GMT-0400,1290.121,1290.121,1287.721,1288.811,2.0835
13.08.2017 20:00:00.000 GMT-0400,1288.722,1289.531,1278.588,1279.122,58.7369
14.08.2017 20:00:00.000 GMT-0400,1279.128,1279.529,1267.278,1272.931,57.2258
15.08.2017 20:00:00.000 GMT-0400,1272.931,1284.092,1267.731,1282.941,62.7323
16.08.2017 20:00:00.000 GMT-0400,1282.941,1290.121,1281.438,1288.471,74.0054
17.08.2017 20:00:00.000 GMT-0400,1288.472,1300.828,1283.481,1283.511,73.0655
18.08.2017 20:00:00.000 GMT-0400,1283.511,1283.511,1283.511,1283.511,0
19.08.2017 20:00:00.000 GMT-0400,1283.172,1284.222,1280.491,1283.479,2.2627
20.08.2017 20:00:00.000 GMT-0400,1283.591,1293.702,1281.821,1291.628,55.5568
21.08.2017 20:00:00.000 GMT-0400,1291.578,1291.589,1281.991,1283.198,54.9118
22.08.2017 20:00:00.000 GMT-0400,1283.188,1291.411,1282.751,1290.521,56.7929
23.08.2017 20:00:00.000 GMT-0400,1290.508,1290.772,1284.468,1286.618,60.7651
24.08.2017 20:00:00.000 GMT-0400,1286.618,1294.378,1276.137,1290.672,62.7961
25.08.2017 20:00:00.000 GMT-0400,1290.672,1290.672,1290.672,1290.672,0
26.08.2017 20:00:00.000 GMT-0400,1292.241,1294.689,1291.989,1292.561,3.3612
27.08.2017 20:00:00.000 GMT-0400,1292.561,1324.391,1291.779,1317.441,57.9905
28.08.2017 20:00:00.000 GMT-0400,1317.442,1325.951,1304.989,1308.881,73.8456
29.08.2017 20:00:00.000 GMT-0400,1308.829,1313.641,1305.138,1307.192,63.6131
30.08.2017 20:00:00.000 GMT-0400,1307.191,1323.631,1298.288,1321.218,70.8795
31.08.2017 20:00:00.000 GMT-0400,1321.208,1328.809,1316.441,1323.661,60.7452
01.09.2017 20:00:00.000 GMT-0400,1323.661,1323.661,1323.661,1323.661,0
02.09.2017 20:00:00.000 GMT-0400,1334.521,1338.421,1333.532,1336.031,3.8555
03.09.2017 20:00:00.000 GMT-0400,1336.032,1339.592,1331.742,1332.857,39.3211
04.09.2017 20:00:00.000 GMT-0400,1332.893,1344.328,1326.259,1341.571,78.1214
05.09.2017 20:00:00.000 GMT-0400,1341.569,1342.429,1331.598,1333.401,68.0472
06.09.2017 20:00:00.000 GMT-0400,1333.388,1349.839,1332.591,1348.838,71.8802
07.09.2017 20:00:00.000 GMT-0400,1348.932,1357.498,1342.711,1346.061,67.4192
08.09.2017 20:00:00.000 GMT-0400,1346.061,1346.061,1346.061,1346.061,0
09.09.2017 20:00:00.000 GMT-0400,1335.871,1339.982,1333.862,1337.752,3.1912
10.09.2017 20:00:00.000 GMT-0400,1337.651,1339.011,1326.349,1327.171,55.2216
11.09.2017 20:00:00.000 GMT-0400,1327.208,1334.522,1322.589,1330.892,65.5055
12.09.2017 20:00:00.000 GMT-0400,1330.891,1334.599,1320.991,1322.228,62.5363
13.09.2017 20:00:00.000 GMT-0400,1322.229,1334.292,1315.718,1333.912,62.6653
14.09.2017 20:00:00.000 GMT-0400,1333.911,1334.081,1319.318,1319.642,75.4076
15.09.2017 20:00:00.000 GMT-0400,1319.642,1319.642,1319.642,1319.642,0
16.09.2017 20:00:00.000 GMT-0400,1319.288,1319.891,1314.458,1316.251,4.8126
17.09.2017 20:00:00.000 GMT-0400,1316.251,1319.639,1304.602,1308.848,98.0392
18.09.2017 20:00:00.000 GMT-0400,1308.848,1311.642,1305.138,1310.798,105.2796
19.09.2017 20:00:00.000 GMT-0400,1310.798,1315.968,1296.008,1298.951,111.8914
20.09.2017 20:00:00.000 GMT-0400,1298.931,1300.882,1288.161,1291.911,122.0823
21.09.2017 20:00:00.000 GMT-0400,1291.898,1298.689,1291.228,1297.131,98.6544
22.09.2017 20:00:00.000 GMT-0400,1297.131,1297.131,1297.131,1297.131,0
23.09.2017 20:00:00.000 GMT-0400,1297.972,1298.021,1289.428,1292.031,6.2423
24.09.2017 20:00:00.000 GMT-0400,1292.031,1311.921,1290.758,1308.311,109.9329
25.09.2017 20:00:00.000 GMT-0400,1308.311,1313.602,1292.169,1293.232,112.2642
26.09.2017 20:00:00.000 GMT-0400,1293.231,1296.208,1281.451,1283.511,108.9037
27.09.2017 20:00:00.000 GMT-0400,1283.512,1288.741,1277.682,1286.932,105.8621
28.09.2017 20:00:00.000 GMT-0400,1286.931,1290.332,1275.751,1278.502,105.977
29.09.2017 20:00:00.000 GMT-0400,1278.502,1278.502,1278.502,1278.502,0
30.09.2017 20:00:00.000 GMT-0400,1279.541,1280.072,1276.771,1277.868,3.5217
01.10.2017 20:00:00.000 GMT-0400,1277.861,1277.878,1269.328,1271.092,95.8485
02.10.2017 20:00:00.000 GMT-0400,1271.071,1274.701,1268.298,1272.439,85.1281
03.10.2017 20:00:00.000 GMT-0400,1272.439,1282.172,1270.592,1273.959,92.5239
04.10.2017 20:00:00.000 GMT-0400,1273.952,1278.962,1266.328,1269.052,92.4761
05.10.2017 20:00:00.000 GMT-0400,1269.051,1276.492,1260.581,1276.262,92.6587
06.10.2017 20:00:00.000 GMT-0400,1276.262,1276.262,1276.262,1276.262,0
07.10.2017 20:00:00.000 GMT-0400,1276.051,1277.722,1275.332,1276.591,2.7786
08.10.2017 20:00:00.000 GMT-0400,1276.592,1285.431,1275.251,1283.169,86.3232
09.10.2017 20:00:00.000 GMT-0400,1283.191,1294.169,1282.081,1289.581,101.6824
10.10.2017 20:00:00.000 GMT-0400,1289.582,1293.491,1284.538,1292.372,104.9118
11.10.2017 20:00:00.000 GMT-0400,1292.401,1297.431,1289.631,1293.916,96.6392
12.10.2017 20:00:00.000 GMT-0400,1293.923,1303.772,1290.858,1303.511,97.4759
13.10.2017 20:00:00.000 GMT-0400,1303.511,1303.511,1303.511,1303.511,0
14.10.2017 20:00:00.000 GMT-0400,1303.131,1304.268,1301.718,1304.229,4.4481
15.10.2017 20:00:00.000 GMT-0400,1304.178,1306.012,1290.482,1294.971,100.1524
16.10.2017 20:00:00.000 GMT-0400,1294.989,1295.209,1281.518,1285.932,103.8764
17.10.2017 20:00:00.000 GMT-0400,1285.931,1288.851,1276.972,1280.301,98.645
18.10.2017 20:00:00.000 GMT-0400,1280.301,1291.038,1276.639,1290.072,115.6821
19.10.2017 20:00:00.000 GMT-0400,1290.071,1290.568,1277.921,1280.061,105.5184
20.10.2017 20:00:00.000 GMT-0400,1280.061,1280.061,1280.061,1280.061,0
21.10.2017 20:00:00.000 GMT-0400,1279.421,1279.422,1274.261,1274.942,5.025
22.10.2017 20:00:00.000 GMT-0400,1274.938,1283.231,1272.518,1282.631,98.7542
23.10.2017 20:00:00.000 GMT-0400,1282.631,1283.612,1273.701,1275.691,99.2173
24.10.2017 20:00:00.000 GMT-0400,1275.681,1279.981,1271.000,1279.249,114.2926
25.10.2017 20:00:00.000 GMT-0400,1279.249,1282.499,1265.682,1267.091,115.7714
